@relation validationSet

@attribute ID numeric
@attribute t1 numeric
@attribute t2 numeric
@attribute t3 numeric
@attribute t4 numeric
@attribute t5 numeric
@attribute t6 numeric
@attribute t7 numeric
@attribute t8 numeric
@attribute t9 numeric
@attribute t10 numeric
@attribute t11 numeric
@attribute t12 numeric
@attribute t13 numeric
@attribute t14 numeric
@attribute t15 numeric
@attribute t16 numeric
@attribute t17 numeric
@attribute t18 numeric
@attribute t19 numeric
@attribute t20 numeric
@attribute t21 numeric
@attribute t22 numeric
@attribute t23 numeric
@attribute t24 numeric
@attribute t25 numeric
@attribute t26 numeric
@attribute t27 numeric
@attribute t28 numeric
@attribute t29 numeric
@attribute t30 numeric
@attribute class {0,1}

@data
7353358,0.15573115,0.06317930,0.02173768,0.84426885,1.00000000,0.99924108,0.00052641,1117.0,191.0,24.0,2.11459266,0.36563693,2.03141361,0.17443279,2.00000000,0.00000000,0.99939002,0.00022397,0.99915122,0.00021591,0.99897242,0.00024988,0.99927509,0.00028503,0.99905954,0.00026867,0.99890029,0.00029133,7.05293113,4.95572758,0
7353464,0.15560312,0.06559370,0.02309734,0.84439688,1.00000000,1.00004439,0.00014259,1089.0,205.0,19.0,2.12029385,0.36267740,2.02926829,0.16855759,2.05263158,0.22329688,0.99983175,0.00006487,0.99977284,0.00006425,0.99971475,0.00004605,0.99979986,0.00008035,0.99974605,0.00007558,0.99968832,0.00005949,7.12069730,4.96047891,0
7353495,0.15279908,0.06388081,0.02315084,0.84720092,1.00000000,0.99908296,0.00199360,1333.0,668.0,290.0,5.89122281,3.39555635,4.73203593,2.62103263,3.87241379,1.89762039,0.99849607,0.00131672,0.99785383,0.00129447,0.99731900,0.00139088,0.99770754,0.00148704,0.99727637,0.00142957,0.99691629,0.00146357,28.18838863,21.26508514,0
8075345,0.15728498,0.06525723,0.02078152,0.84271502,1.00000000,1.00161776,0.00741087,653.0,137.0,16.0,2.21133231,0.55733469,2.10948905,0.41290907,2.06250000,0.24206146,0.99859214,0.00760172,0.99819441,0.00765967,0.99535232,0.00786594,0.99835683,0.00760998,0.99793674,0.00765638,0.99507954,0.00782559,7.33323615,5.18042152,0
8075359,0.15585882,0.06398380,0.02096822,0.84414118,1.00000000,0.99995443,0.00059558,1142.0,163.0,15.0,2.12784588,0.36880849,2.03680982,0.18829459,2.00000000,0.00000000,0.99932532,0.00025698,0.99908742,0.00024424,0.99894366,0.00014452,0.99919889,0.00031991,0.99899062,0.00027825,0.99885348,0.00018809,7.16815820,5.03210099,0
8075379,0.15623958,0.06319579,0.02083194,0.84376042,1.00000000,1.00128434,0.00082356,1149.0,171.0,18.0,2.14621410,0.39956028,2.01169591,0.10751331,2.00000000,0.00000000,0.99917600,0.00050412,0.99887852,0.00043591,0.99854834,0.00038716,0.99901356,0.00056307,0.99874286,0.00050010,0.99845941,0.00041720,7.11304223,4.97817754,0
8075436,0.15634829,0.06517315,0.02189818,0.84365171,1.00000000,1.00016345,0.00023323,1117.0,185.0,18.0,2.13965980,0.38806393,2.04864865,0.21513242,2.00000000,0.00000000,0.99974382,0.00011835,0.99964747,0.00011943,0.99959699,0.00014181,0.99969373,0.00013941,0.99960593,0.00013582,0.99957552,0.00015324,7.06959654,4.93644602,0
8075482,0.15548100,0.06512151,0.02191720,0.84451900,1.00000000,1.00020628,0.00111709,1313.0,314.0,47.0,2.27570449,0.59714666,2.16560510,0.41234352,2.04255319,0.20184751,0.99979572,0.00107192,0.99967559,0.00103585,0.99970354,0.00096725,0.99974736,0.00105972,0.99962942,0.00102535,0.99966030,0.00096684,7.62649465,5.36742058,0
8075555,0.15776263,0.06661902,0.02253752,0.84223737,1.00000000,0.99719844,0.00588594,1638.0,444.0,65.0,2.31746032,0.61270664,2.14189189,0.45037725,2.13846154,0.57851064,0.99955144,0.00591636,0.99927871,0.00584125,0.99954802,0.00584202,0.99948680,0.00592466,0.99929095,0.00581344,0.99967468,0.00585716,8.01711864,5.47167237,0
8075627,0.15689003,0.06530928,0.02176976,0.84310997,1.00000000,1.00007884,0.00033753,1176.0,216.0,25.0,2.14965986,0.39946804,2.02777778,0.19043485,2.04000000,0.19595918,0.99971190,0.00025083,0.99957485,0.00025545,0.99944985,0.00022570,0.99965564,0.00026449,0.99952621,0.00026961,0.99939374,0.00024299,7.14636689,4.91310922,0
