@relation trainingSet

@attribute ID numeric
@attribute t1 numeric
@attribute t2 numeric
@attribute t3 numeric
@attribute t4 numeric
@attribute t5 numeric
@attribute t6 numeric
@attribute t7 numeric
@attribute t8 numeric
@attribute t9 numeric
@attribute t10 numeric
@attribute t11 numeric
@attribute t12 numeric
@attribute t13 numeric
@attribute t14 numeric
@attribute t15 numeric
@attribute t16 numeric
@attribute t17 numeric
@attribute t18 numeric
@attribute t19 numeric
@attribute t20 numeric
@attribute t21 numeric
@attribute t22 numeric
@attribute t23 numeric
@attribute t24 numeric
@attribute t25 numeric
@attribute t26 numeric
@attribute t27 numeric
@attribute t28 numeric
@attribute t29 numeric
@attribute t30 numeric
@attribute class {0,1}

@data
4076098,0.08069246,0.03200068,0.02108943,0.91930754,1.00000000,0.99749487,0.00102795,300.0,193.0,193.0,3.25666667,1.08817380,3.77202073,0.71970385,3.60621762,0.72007678,0.99730263,0.00165470,0.99597345,0.00093120,0.99569988,0.00081600,0.99579801,0.00208255,0.99474889,0.00115870,0.99463311,0.00104574,15.74066893,13.00777682,1
4077526,0.15628307,0.06349492,0.02118749,0.84371693,1.00000000,1.00140992,0.00065029,911.0,163.0,29.0,2.15587267,0.42152054,2.06134969,0.23997064,2.06896552,0.25339549,0.99946590,0.00052768,0.99926826,0.00048605,0.99892745,0.00037045,0.99936332,0.00055077,0.99919552,0.00049264,0.99887250,0.00038291,7.25292137,5.01702428,1
4135665,0.15497218,0.06319870,0.02133917,0.84502782,1.00000000,1.00020877,0.00040277,1194.0,204.0,20.0,2.11976549,0.36591998,2.02450980,0.15462559,2.00000000,0.00000000,0.99957824,0.00022100,0.99945632,0.00026753,0.99925786,0.00030225,0.99949507,0.00025609,0.99938751,0.00029576,0.99919816,0.00031578,7.25055010,5.06643643,1
4136466,0.15632369,0.06453810,0.02146612,0.84367631,1.00000000,1.00014731,0.00017515,1129.0,178.0,15.0,2.14348981,0.38890121,2.04494382,0.20718077,2.00000000,0.00000000,0.99980866,0.00010090,0.99973217,0.00009355,0.99967391,0.00008990,0.99977187,0.00011613,0.99969971,0.00010927,0.99964490,0.00009873,7.11025872,5.04585144,1
5007345,0.15602262,0.06551950,0.02167316,0.84397738,1.00000000,1.00003399,0.00025560,1093.0,192.0,29.0,2.12900274,0.37390965,2.05729167,0.23239908,2.03448276,0.18246561,0.99969834,0.00010491,0.99957436,0.00011484,0.99945600,0.00010204,0.99964139,0.00013561,0.99952304,0.00013784,0.99941619,0.00011697,7.14541922,5.08086613,1
5009743,0.15467078,0.06400228,0.02083717,0.84532922,1.00000000,0.99992333,0.00019023,1087.0,202.0,24.0,2.14443422,0.41401819,2.06435644,0.26479365,2.04166667,0.19982631,0.99978454,0.00010858,0.99970191,0.00011385,0.99957792,0.00012731,0.99974308,0.00012639,0.99966871,0.00012524,0.99954780,0.00013671,7.17582897,5.09862622,1
5021899,0.15425158,0.06476927,0.02152729,0.84574842,1.00000000,1.00017923,0.00066535,847.0,167.0,24.0,2.19008264,0.52380938,2.15568862,0.43741275,2.25000000,0.52041650,0.99935946,0.00046379,0.99902975,0.00046178,0.99869495,0.00047335,0.99921374,0.00051603,0.99888632,0.00051322,0.99856319,0.00050138,7.37455609,5.22302716,1
5022828,0.15627945,0.06664953,0.02278763,0.84372055,1.00000000,0.99998527,0.00008841,1064.0,238.0,30.0,2.22368421,0.51551416,2.13865546,0.41212898,2.03333333,0.17950549,0.99991458,0.00006767,0.99987710,0.00007104,0.99981687,0.00009273,0.99989544,0.00007351,0.99985857,0.00007540,0.99979872,0.00009592,7.63130711,5.42166569,1
5036705,0.15719470,0.06385018,0.02023349,0.84280530,1.00000000,1.00006438,0.00037895,1137.0,195.0,17.0,2.12137203,0.35987228,2.04615385,0.20981818,2.00000000,0.00000000,0.99957636,0.00019109,0.99943293,0.00019104,0.99930814,0.00014004,0.99949585,0.00022635,0.99936567,0.00021640,0.99926770,0.00015628,7.09127101,5.12883993,1
5080636,0.15277843,0.06380348,0.02262866,0.84722157,1.00000000,0.99935630,0.00429606,998.0,297.0,68.0,2.34268537,0.62416405,2.21885522,0.50176259,2.14705882,0.39350259,0.99940409,0.00418801,0.99940287,0.00382276,0.99823799,0.00390215,0.99927514,0.00414044,0.99922039,0.00381948,0.99801978,0.00397573,7.93333333,5.64740776,1
5084171,0.15580919,0.06402723,0.02098115,0.84419081,1.00000000,1.00047771,0.00053959,1093.0,169.0,28.0,2.12442818,0.35926856,2.08875740,0.28439325,2.00000000,0.00000000,0.99937100,0.00022681,0.99915529,0.00025045,0.99898133,0.00022122,0.99924633,0.00029106,0.99906244,0.00029087,0.99890444,0.00024695,7.09121327,4.96032864,1
5084942,0.11198302,0.04676979,0.02338489,0.88801698,1.00000000,0.99937389,0.00054006,1036.0,498.0,399.0,2.53185328,0.68205688,2.65863454,0.59443178,2.64411028,0.53326361,0.99967160,0.00053049,0.99944041,0.00052428,0.99933385,0.00051402,0.99953531,0.00057571,0.99929440,0.00054770,0.99920409,0.00052993,11.52782847,8.24132209,1
5088400,0.15305445,0.06454574,0.02134599,0.84694555,1.00000000,0.99771149,0.00866976,1170.0,275.0,57.0,2.26495726,0.62283008,2.18181818,0.50779055,2.26315789,0.68891768,0.99805722,0.00818329,0.99762506,0.00801707,0.99625593,0.00827896,0.99783564,0.00815069,0.99725748,0.00804614,0.99578818,0.00806924,7.85708990,5.68341190,1
5088536,0.13988755,0.05679063,0.02171558,0.86011245,1.00000000,1.00007681,0.00014042,995.0,208.0,78.0,2.52964824,1.66304056,3.70192308,3.09428694,5.69230769,3.09800470,0.99990022,0.00014298,0.99980181,0.00018047,0.99959210,0.00020174,0.99981554,0.00022187,0.99961245,0.00025195,0.99945497,0.00017812,8.51289597,6.04691841,1
6020753,0.14828819,0.06466841,0.02568862,0.85171181,1.00000000,0.99967006,0.00032664,938.0,321.0,148.0,2.44776119,0.79974696,2.58566978,0.87522864,2.44594595,0.73781804,0.99970255,0.00027447,0.99952059,0.00028428,0.99938454,0.00027901,0.99959732,0.00031958,0.99940980,0.00031469,0.99928275,0.00031300,8.18314279,5.74741782,1
6021193,0.15566661,0.06492459,0.02160418,0.84433339,1.00000000,1.00007300,0.00024314,922.0,184.0,29.0,2.17570499,0.44858876,2.07608696,0.30337578,2.00000000,0.00000000,0.99981231,0.00019744,0.99974289,0.00021515,0.99967241,0.00019831,0.99977525,0.00020535,0.99970947,0.00021990,0.99964320,0.00019929,7.35920000,5.16179962,1
6021275,0.15434076,0.06660367,0.02500519,0.84565924,1.00000000,0.99998633,0.00008280,935.0,268.0,82.0,2.36791444,0.75532862,2.35074627,0.71505623,2.26829268,0.58536585,0.99990860,0.00005868,0.99986522,0.00006266,0.99981309,0.00005647,0.99988376,0.00007120,0.99984054,0.00007349,0.99978879,0.00006785,7.68055556,5.39720232,1
6022556,0.14501238,0.06404887,0.02688757,0.85498762,1.00000000,0.99998653,0.00075915,810.0,309.0,188.0,2.71975309,1.19225067,3.05177994,1.17025088,2.65425532,0.83960032,0.99900737,0.00054583,0.99841843,0.00052742,0.99801012,0.00044335,0.99862042,0.00073214,0.99808140,0.00060151,0.99778840,0.00049065,8.53419506,6.17566534,1
6026438,0.15681688,0.06288412,0.02030921,0.84318312,1.00000000,0.99980020,0.00208885,1032.0,190.0,25.0,2.20736434,0.47984981,2.13157895,0.35325946,2.12000000,0.32496154,0.99933413,0.00192453,0.99926360,0.00185949,0.99905203,0.00159257,0.99920119,0.00191521,0.99914723,0.00188104,0.99893240,0.00157009,7.44070728,4.97826253,1
6026924,0.15755463,0.06708508,0.02336123,0.84244537,1.00000000,1.00006042,0.00015310,988.0,198.0,24.0,2.19129555,0.46848574,2.07070707,0.25633490,2.00000000,0.00000000,0.99987038,0.00012030,0.99982055,0.00012405,0.99980522,0.00014191,0.99984544,0.00012576,0.99979878,0.00012692,0.99978204,0.00014114,7.34334231,4.94560887,1
6029239,0.13355951,0.05338667,0.02032170,0.86644049,1.00000000,0.99962061,0.00072062,1165.0,349.0,169.0,2.48326180,0.83121691,2.82234957,0.99423218,3.37278107,0.81956401,0.99980636,0.00069765,0.99965843,0.00071708,0.99954851,0.00071600,0.99974425,0.00071266,0.99957436,0.00073415,0.99946019,0.00073095,9.34646689,6.61853790,1
6032497,0.15417958,0.06141108,0.02106297,0.84582042,1.00000000,0.99980523,0.00045561,1100.0,216.0,32.0,2.22363636,0.59159680,2.13888889,0.42943402,2.15625000,0.36309219,0.99942763,0.00027912,0.99913750,0.00034753,0.99869880,0.00041529,0.99929612,0.00036392,0.99901688,0.00041014,0.99856261,0.00046139,7.32903226,5.13148106,1
